Mobile Name,Selling Price,Discount Options,EMI Options,Delivery Date,Ratings,Review Count
"Honor 9A (Phantom Blue, 3GB RAM, 64GB Storage)- Download Apps Through Petal Search","9,999","Save ₹2,000 (17%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",3.1 out of 5 stars,512
"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990","Save ₹4,000 (27%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.1 out of 5 stars,"4,952"
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Gorilla Glass 5 Protection","13,999","Save ₹3,000 (18%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.3 out of 5 stars,"12,203"
"Redmi Note 9 Pro (Glacier White, 6GB RAM, 128GB Storage) - Latest 8nm Snapdragon 720G & Gorilla Glass 5 Protection","16,999","Save ₹3,000 (15%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.3 out of 5 stars,"12,203"
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)","19,499","Save ₹3,500 (15%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.4 out of 5 stars,"15,826"
"Redmi Note 8 (Cosmic Purple, 4GB RAM, 64GB Storage)","12,799",Save ₹200 (2%),Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.3 out of 5 stars,"98,418"
"Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage)","12,799",Save ₹200 (2%),Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.3 out of 5 stars,"98,418"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","17,499",No Savings,Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.3 out of 5 stars,"87,859"
"OPPO A5 2020 (Mirror Black, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990","Save ₹4,000 (27%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.1 out of 5 stars,"4,952"
"Samsung Galaxy M01 Core (Red, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers","4,999","Save ₹2,000 (29%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",3.1 out of 5 stars,"1,293"
"Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","18,990","Save ₹2,000 (10%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.0 out of 5 stars,"1,517"
"Vivo Y12 (Aqua Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990","Save ₹3,000 (21%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.2 out of 5 stars,"1,967"
"OPPO A12 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","9,990","Save ₹1,000 (9%)",Save extra with No Cost EMI,"Get it by :Thursday, September 24",4.0 out of 5 stars,"1,058"
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","19,499","Save ₹3,500 (15%)",Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.4 out of 5 stars,"15,826"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","5,999","Save ₹2,500 (29%)",Save extra with No Cost EMI,"Get it by :Wednesday, September 23",3.1 out of 5 stars,"1,293"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","13,499",No Savings,Save extra with No Cost EMI,"Get it by :Tuesday, September 22",4.3 out of 5 stars,797
